Height_m,Weight_kg,Job
1.73,79.88,psychologist
1.55,61.81,accountant
1.74,92.79,mechanic
1.59,57.09,psychologist
1.52,80.83,dentist
2.0,99.25,accountant
1.58,53.12,police officer
1.7,91.31,scientist
1.6,50.53,pharmacist
1.54,63.74,pharmacist
1.7,72.86,physicist
1.68,65.89,dentist
1.84,79.15,police officer
2.0,68.4,mechanic
1.86,92.75,architect
1.75,55.9,teacher
1.94,95.42,mechanic
1.77,93.57,pharmacist
1.64,53.61,police officer
1.85,88.75,lawyer
1.84,52.82,psychologist
1.83,85.71,teacher
1.51,98.27,firefighter
1.89,58.16,firefighter
1.97,83.5,pilot
1.77,97.01,lawyer
1.74,57.89,marketing manager
1.67,57.76,data analyst
1.71,81.42,software developer
1.76,89.53,journalist
1.59,62.52,marketing manager
1.54,88.16,nurse
1.95,60.06,economist
1.8,90.91,graphic designer
1.85,67.9,nurse
1.6,85.63,chef
1.82,51.62,journalist
1.52,97.55,accountant
1.64,89.58,engineer
1.78,66.97,pilot
1.59,85.09,data analyst
1.57,80.85,dentist
1.99,97.46,marketing manager
1.82,94.43,chemist
1.94,95.35,architect
1.66,93.88,scientist
1.79,61.03,lawyer
1.99,78.82,police officer
1.57,97.52,biologist
1.58,66.36,salesperson
1.74,57.31,mechanic
1.87,75.27,psychologist
1.75,71.5,graphic designer
1.83,55.47,economist
1.75,79.44,police officer
1.56,85.49,police officer
1.63,68.39,pilot
1.63,66.29,dentist
1.77,65.28,graphic designer
1.72,72.83,chemist
1.55,69.73,plumber
1.94,64.24,graphic designer
1.87,67.85,artist
1.86,56.09,teacher
1.83,69.64,economist
1.63,93.65,chef
1.95,93.6,graphic designer
1.61,74.23,firefighter
1.82,52.92,psychologist
1.59,65.58,dentist
1.97,91.51,chemist
1.81,60.2,pharmacist
1.98,50.07,doctor
1.55,82.5,architect
1.6,50.24,accountant
1.63,67.57,teacher
1.92,69.95,lawyer
1.85,51.82,doctor
1.7,60.84,artist
1.68,77.97,police officer
1.69,94.29,musician
1.83,71.11,pharmacist
1.75,74.92,lawyer
1.65,82.63,salesperson
1.76,92.96,biologist
1.88,91.91,psychologist
1.74,71.38,data analyst
1.71,55.76,nurse
1.93,71.14,data analyst
1.5,63.08,architect
1.88,65.85,pilot
1.83,54.89,software developer
1.93,95.18,salesperson
1.67,95.66,journalist
1.82,91.24,salesperson
1.93,90.2,psychologist
1.52,80.23,psychologist
